Date,Cases
1961,2179
1962,1833
1963,2328
1964,1951
1965,2355
1966,3423
1967,2707
1968,3628
1969,3731
1970,3833
1971,3936
1972,4038
1973,3752
1974,3923
1975,4102
1976,4289
1977,4484
1978,5835
1979,6323
1980,8100
1981,8300
1982,8900
1983,9500
1984,10600
1985,11200
1986,11800
1987,12000
1988,14409
1989,18577
1990,19227
1991,18026
1992,18647
1993,19495
1994,17328
1995,17400
1996,19086
1997,20118
1998,20751
1999,21038
2000,22310
2001,23659
2002,19054
2003,20700
2004,21334
2005,21469
2006,22000
2007,23650
2008,29326
2009,22615
2010,22552
2011,24950
2012,26795
2013,26452.05
2014,25500
2015,25500
2016,25500
2017,26053.34
2018,26466.95
2019,26359.11
2020,26538.85
2021,26718.59
